verseId1,verseId2,score
2:8,11:103,1.3948
2:8,4:133,1.0769
2:8,55:39,1.0599
2:8,3:9,0.8832
2:8,20:59,0.8832
2:8,4:38,0.881
2:8,16:61,0.7671
2:8,10:92,0.757
2:8,45:26,0.757
2:8,2:94,0.7179
2:9,4:142,6.4781
2:9,8:62,5.8303
2:9,6:26,1.7656
2:9,3:69,1.1035
2:9,6:123,0.9809
2:9,2:72,0.4928
2:9,2:48,0.448
2:9,2:123,0.448
2:9,2:54,0.352
2:9,2:207,0.352
2:9,2:44,0.308
2:9,2:130,0.308
2:10,47:29,2.1804
2:10,9:125,2.0
2:10,24:50,1.817
2:10,33:12,1.817
2:10,78:30,1.4378
2:10,8:49,1.3627
2:10,33:60,1.2113
2:10,22:53,1.168
2:10,33:32,0.9911
2:10,38:61,0.8627
2:10,8:2,0.8406
2:10,48:17,0.7894
2:11,26:152,4.868
2:11,12:73,2.572
2:11,27:48,2.434
2:11,2:205,2.0266
2:11,38:28,1.8255
2:11,10:81,1.7525
2:11,26:183,1.7146
2:11,47:22,1.7146
2:11,7:56,1.4604
2:11,28:77,1.3028
2:11,2:220,1.1846
2:11,8:73,1.1431
2:12,10:40,11.9272
2:12,3:63,5.9636
2:12,2:11,3.9757
2:12,26:152,3.9757
2:12,10:91,2.9818
2:12,12:73,2.9818
2:12,21:22,2.9818
2:12,2:205,2.6505
2:12,26:183,1.9879
2:12,27:48,1.9879
2:12,10:81,1.7039
2:12,7:103,1.4909
2:13,2:142,3.392
2:13,2:8,0.9836
2:13,2:21,0.5902
2:13,2:243,0.454
2:13,2:161,0.4216
2:13,2:199,0.4216
2:13,2:207,0.4216
2:13,2:44,0.3689
2:13,2:204,0.3689
2:13,2:24,0.3279
2:13,2:94,0.3279
2:13,2:224,0.3279
2:14,84:4,5.4804
2:14,7:115,3.6652
2:14,22:52,1.3009
2:14,2:46,1.2217
2:14,7:120,1.2217
2:14,2:76,1.2179
2:14,7:107,0.9163
2:14,8:15,0.9163
2:14,3:119,0.9134
2:14,7:116,0.8145
2:14,3:155,0.7687
2:14,22:53,0.7687
2:15,7:186,3.5897
2:15,15:95,3.4696
2:15,23:75,2.9914
2:15,6:10,2.3131
2:15,15:11,2.3131
2:15,21:41,2.3131
2:15,43:7,2.3131
2:15,6:110,2.2435
2:15,2:14,1.7348
2:15,26:6,1.7348
2:15,10:11,1.4957
2:15,9:65,1.3879
2:16,20:79,3.2709
2:16,7:178,2.6234
2:16,6:117,2.1806
2:16,16:37,2.0988
2:16,2:175,1.8301
2:16,10:108,1.4537
2:16,7:186,1.3084
2:16,27:81,1.3084
2:16,4:44,1.2721
2:16,6:77,1.0903
2:16,13:27,1.0903
2:16,17:15,1.0903
2:17,24:35,0.8727
2:17,11:24,0.7101
2:17,62:5,0.7059
2:17,7:177,0.6786
2:17,6:160,0.6591
2:17,2:20,0.6584
2:17,7:47,0.6415
2:17,7:176,0.6252
2:17,20:63,0.5694
2:17,51:59,0.5655
2:17,13:17,0.5227
2:17,3:117,0.5093
2:18,25:73,4.0995
2:18,47:23,4.0995
2:18,8:22,3.5562
2:18,80:2,3.5552
2:18,5:71,3.2796
2:18,2:171,2.8448
2:18,17:72,2.8441
2:18,43:40,2.733
2:18,6:39,2.3708
2:18,20:125,2.3701
2:18,35:19,2.3701
2:18,10:42,2.322
2:19,13:13,0.8965
2:19,9:49,0.6952
2:19,71:7,0.6403
2:19,3:166,0.617
2:19,30:24,0.4394
2:19,24:63,0.4175
2:19,8:25,0.3469
2:19,9:90,0.3274
2:19,3:120,0.3062
2:19,4:78,0.3004
2:19,6:1,0.2848
2:19,24:43,0.2739
2:20,24:45,0.7763
2:20,68:51,0.6952
2:20,17:36,0.5573
2:20,17:30,0.5542
2:20,19:42,0.5327
2:20,3:189,0.5078
2:20,5:120,0.5078
2:20,5:40,0.4887
2:20,46:26,0.467
2:20,40:20,0.4661
2:20,16:77,0.452
2:20,24:43,0.4323
2:21,51:56,1.5185
2:21,19:67,1.1854
2:21,10:104,0.8831
2:21,4:28,0.8029
2:21,15:26,0.8029
2:21,16:4,0.8029
2:21,21:37,0.8029
2:21,3:138,0.7808
2:21,4:1,0.7017
2:21,49:13,0.6717
2:21,22:1,0.6507
2:21,2:207,0.5471
2:22,14:32,0.6412
2:22,43:11,0.5931
2:22,5:114,0.5629
2:22,20:53,0.5553
2:22,21:30,0.538
2:22,16:65,0.5304
2:22,23:18,0.5304
2:22,40:64,0.5009
2:22,22:63,0.4715
2:22,6:99,0.469
2:22,27:60,0.4593
2:22,34:2,0.4535
2:23,10:38,1.2114
2:23,7:194,1.1091
2:23,11:13,0.9691
2:23,26:154,0.8657
2:23,52:34,0.8657
2:23,4:87,0.8198
2:23,43:86,0.702
2:23,10:37,0.6141
2:23,11:62,0.5988
2:23,22:71,0.496
2:23,6:40,0.4952
2:23,6:56,0.4629
2:24,26:19,3.001
2:24,83:36,1.4997
2:24,3:131,1.484
2:24,3:115,1.4211
2:24,66:6,1.1141
2:24,3:10,0.9468
2:24,4:30,0.8621
2:24,3:28,0.5725
2:24,5:67,0.5483
2:24,8:73,0.4999
2:24,14:34,0.4793
2:24,24:35,0.4505
2:25,20:76,0.7249
2:25,10:9,0.659
2:25,85:11,0.659
2:25,4:57,0.6471
2:25,5:85,0.6343
2:25,9:89,0.6343
2:25,22:14,0.5858
2:25,2:82,0.5793
2:25,14:23,0.5718
2:25,29:58,0.5655
2:25,3:15,0.5603
2:25,3:136,0.557
2:26,17:48,0.7271
2:26,25:9,0.7271
2:26,39:29,0.6362
2:26,36:78,0.6054
2:26,2:73,0.5984
2:26,47:3,0.5597
2:26,36:70,0.4973
2:26,30:58,0.4764
2:26,28:79,0.4195
2:26,5:49,0.3966
2:26,8:12,0.3947
2:26,43:32,0.3902
2:27,13:20,2.4517
2:27,13:25,1.824
2:27,8:56,1.5965
2:27,16:91,1.1874
2:27,47:22,0.9566
2:27,2:64,0.652
2:27,4:155,0.5961
2:27,7:103,0.4365
2:27,7:56,0.4193
2:27,3:80,0.4129
2:27,16:92,0.3587
2:27,5:33,0.3578
2:28,10:56,3.4045
2:28,22:66,2.5043
2:28,30:50,1.4066
2:28,9:84,1.0097
2:28,2:258,0.9756
2:28,3:156,0.9169
2:28,35:26,0.9051
2:28,2:161,0.8548
2:28,9:125,0.7177
2:28,6:122,0.6748
2:28,4:18,0.6491
2:28,2:260,0.5512
2:29,4:126,0.7717
2:29,42:29,0.7124
2:29,65:12,0.6841
2:29,25:59,0.6599
2:29,6:101,0.649
2:29,3:189,0.6431
2:29,5:120,0.6431
2:29,57:4,0.6406
2:29,10:99,0.6248
2:29,13:16,0.6124
2:29,32:4,0.605
2:29,17:44,0.5569
2:30,62:1,1.0223
2:30,43:60,0.962
2:30,38:28,0.7583
2:30,6:9,0.7271
2:30,59:23,0.7243
2:30,17:44,0.6803
2:30,18:94,0.674
2:30,64:1,0.6591
2:30,39:75,0.5921
2:30,27:34,0.5446
2:30,10:14,0.5297
2:30,28:83,0.4929
2:31,2:33,1.3437
2:31,20:116,1.0636
2:31,3:189,0.7666
2:31,5:120,0.7666
2:31,85:9,0.7666
2:31,2:34,0.7597
2:31,7:11,0.7597
2:31,17:61,0.7597
2:31,20:120,0.6647
2:31,24:64,0.6014
2:31,2:107,0.5959
2:31,57:2,0.5749
2:32,20:33,4.5547
2:32,57:1,3.0416
2:32,59:1,3.0416
2:32,61:1,3.0416
2:32,15:98,3.0364
2:32,17:108,3.0364
2:32,52:48,2.5347
2:32,17:44,2.4844
2:32,16:57,2.2773
2:32,17:43,2.2773
2:32,21:20,2.2773
2:32,21:22,2.2773
2:33,35:38,1.3354
2:33,27:65,1.0683
2:33,27:75,1.0683
2:33,49:18,1.0683
2:33,12:102,0.8219
2:33,3:29,0.7567
2:33,17:55,0.742
2:33,24:64,0.742
2:33,3:44,0.7045
2:33,11:49,0.7045
2:33,62:8,0.6165
2:33,39:46,0.5935
2:34,20:116,4.4838
2:34,7:11,3.1744
2:34,17:61,3.1744
2:34,15:30,1.7783
2:34,38:73,1.7783
2:34,16:49,1.5121
2:34,18:50,1.1227
2:34,7:31,0.8106
2:34,20:120,0.7597
2:34,76:20,0.7383
2:34,17:111,0.6279
2:34,25:21,0.5651
2:35,7:19,1.7525
2:35,20:117,0.9429
2:35,2:58,0.7206
2:35,20:120,0.6864
2:35,48:18,0.6225
2:35,20:121,0.5394
2:35,7:161,0.5128
2:35,14:45,0.5121
2:35,4:8,0.4999
2:35,18:33,0.4566
2:35,17:26,0.4374
2:35,25:8,0.4353
2:36,7:24,2.459
2:36,7:13,1.314
2:36,20:123,1.1149
2:36,3:155,0.9057
2:36,43:62,0.8388
2:36,6:112,0.6238
2:36,35:6,0.621
2:36,17:53,0.5664
2:36,36:60,0.4793
2:36,28:15,0.4777
2:36,7:110,0.4667
2:36,2:208,0.4194
2:37,2:160,3.6237
2:37,4:16,2.1417
2:37,5:39,2.1417
2:37,9:104,2.1417
2:37,5:74,2.0604
2:37,11:90,2.0604
2:37,24:10,2.0604
2:37,9:118,1.6725
2:37,3:89,1.6483
2:37,5:34,1.6483
2:37,9:27,1.6483
2:37,24:5,1.6483
2:38,20:123,1.3552
2:38,10:65,1.2609
2:38,38:85,1.2065
2:38,6:149,0.8786
2:38,28:49,0.8297
2:38,3:170,0.7435
2:38,16:9,0.7321
2:38,7:18,0.7239
2:38,7:203,0.7112
2:38,19:43,0.7112
2:38,20:60,0.6836
2:38,2:277,0.6609
2:39,7:36,2.3708
2:39,64:10,1.8854
2:39,5:10,1.7445
2:39,5:86,1.7445
2:39,40:6,1.5011
2:39,2:81,1.4036
2:39,58:17,1.4036
2:39,3:116,1.3961
2:39,2:257,1.2524
2:39,7:50,1.111
2:39,13:5,1.0153
2:39,3:131,0.9751
2:40,13:20,2.6369
2:40,3:76,2.1095
2:40,2:47,1.8695
2:40,2:122,1.8695
2:40,26:133,1.6299
2:40,26:22,1.2225
2:40,52:29,1.1144
2:40,36:60,1.0623
2:40,43:59,0.978
2:40,6:152,0.8583
2:40,7:134,0.8262
2:40,6:138,0.7437
2:41,16:95,1.7603
2:41,9:9,1.5088
2:41,3:199,1.0915
2:41,2:79,1.0562
2:41,3:187,0.9653
2:41,2:174,0.845
2:41,3:77,0.8124
2:41,5:44,0.6969
2:41,3:3,0.6154
2:41,2:91,0.572
2:41,2:99,0.527
2:41,2:90,0.5084
2:42,3:71,3.7994
2:42,44:53,3.293
2:42,8:8,3.1413
2:42,17:81,2.4747
2:42,7:118,2.356
2:42,6:9,2.1954
2:42,6:82,2.1954
2:42,78:10,2.1954
2:42,21:18,1.8848
2:42,34:49,1.8848
2:42,22:62,1.5707
2:42,31:30,1.5707
2:43,5:55,4.311
2:43,92:18,1.9111
2:43,27:3,1.8639
2:43,31:4,1.8639
2:43,24:56,1.5532
2:43,2:125,1.5487
2:43,41:7,1.4333
2:43,19:55,1.3368
2:43,9:11,1.3313
2:43,9:103,1.2897
2:43,19:31,1.1458
2:43,2:277,1.0355
2:44,9:67,0.5668
2:44,12:53,0.4796
2:44,3:164,0.4643
2:44,10:71,0.4514
2:44,39:41,0.3936
2:44,66:6,0.3631
2:44,12:68,0.3374
2:44,11:17,0.3321
2:44,12:32,0.3256
2:44,6:151,0.3255
2:44,12:83,0.2894
2:44,3:110,0.2833
2:45,23:2,5.3472
2:45,2:153,4.6694
2:45,1:5,4.0149
2:45,107:7,4.0149
2:45,21:112,1.606
2:45,7:128,1.4451
2:45,3:200,1.4123
2:45,18:95,1.1471
2:45,12:18,1.051
2:45,11:11,1.0457
2:45,25:4,1.0037
2:45,29:45,0.9014
2:46,69:20,4.0742
2:46,28:39,1.8482
2:46,2:78,1.8339
2:46,10:36,1.8339
2:46,26:186,1.8339
2:46,27:28,1.7482
2:46,33:10,1.4671
2:46,7:66,1.2226
2:46,17:102,1.2226
2:46,18:35,1.2226
2:46,18:36,1.2226
2:46,24:12,1.2226
2:47,2:122,4.0748
2:47,49:8,3.1925
2:47,26:133,2.9339
2:47,26:22,2.2004
2:47,52:29,2.0059
2:47,3:171,1.9155
2:47,43:59,1.7603
2:47,3:174,1.4585
2:47,6:138,1.3387
2:47,16:71,1.0939
2:47,5:7,1.0029
2:47,43:13,1.0029
2:48,2:123,1.3666
2:48,36:54,0.7577
2:48,40:17,0.5066
2:48,9:44,0.4861
2:48,6:70,0.4815
2:48,3:28,0.4427
2:48,7:53,0.4377
2:48,2:281,0.4253
2:48,2:254,0.4236
2:48,16:31,0.3854
2:48,5:57,0.3404
2:48,59:9,0.339
2:49,14:6,1.5959
2:49,7:141,1.533
2:49,15:59,1.0652
2:49,37:115,1.0516
2:49,44:30,0.9519
2:49,37:76,0.7887
2:49,28:4,0.7001
2:49,40:45,0.6725
2:49,54:34,0.6391
2:49,26:156,0.5685
2:49,11:58,0.5401
2:49,7:167,0.5331
2:50,44:24,2.3667
2:50,15:59,1.9528
2:50,7:64,1.4126
2:50,6:63,1.1939
2:50,54:34,1.1717
2:50,8:54,1.0439
2:50,10:73,1.0116
2:50,26:63,0.9606
2:50,18:78,0.8642
2:50,10:90,0.8606
2:50,2:53,0.8606
2:50,12:45,0.8369
2:51,2:92,1.32
2:51,36:37,1.008
2:51,7:142,0.8094
2:51,18:58,0.7926
2:51,7:148,0.7848
2:51,48:20,0.7133
2:51,23:41,0.6314
2:51,22:47,0.6263
2:51,14:14,0.6195
2:51,18:59,0.5796
2:51,21:109,0.531
2:51,2:54,0.4528
2:52,4:99,4.6821
2:52,4:149,2.6755
2:52,2:56,2.61
2:52,42:34,2.3411
2:52,9:43,1.8728
2:52,9:66,1.6318
2:52,7:199,1.5607
2:52,42:25,1.5607
2:52,42:30,1.5607
2:52,2:237,1.4046
2:52,22:60,1.3377
2:52,3:134,1.0405
2:53,23:49,2.1668
2:53,98:4,1.5323
2:53,3:100,1.3134
2:53,40:53,1.3001
2:53,2:146,1.1492
2:53,28:49,1.0834
2:53,2:101,1.0546
2:53,3:23,1.0546
2:53,32:23,0.9286
2:53,2:136,0.841
2:53,2:38,0.8204
2:53,4:51,0.8125
2:54,5:39,1.427
2:54,9:118,1.1589
2:54,12:53,1.0329
2:54,49:11,0.5481
2:54,7:23,0.5436
2:54,4:64,0.5429
2:54,6:54,0.5404
2:54,2:92,0.5282
2:54,6:58,0.4703
2:54,28:16,0.453
2:54,17:33,0.4491
2:54,11:31,0.4279
2:55,51:44,2.7104
2:55,6:47,1.3017
2:55,39:68,1.2729
2:55,41:17,1.1521
2:55,36:49,1.0557
2:55,7:143,1.0093
2:55,16:85,1.0064
2:55,25:43,0.9862
2:55,4:153,0.9808
2:55,3:143,0.8386
2:55,7:198,0.8386
2:55,25:41,0.7889
2:56,23:15,3.1616
2:56,23:82,2.1973
2:56,37:16,2.1973
2:56,56:47,2.1973
2:56,6:36,1.7579
2:56,16:21,1.7579
2:56,23:37,1.7579
2:56,10:75,1.6002
2:56,50:3,1.5808
2:56,30:19,1.2214
2:56,19:15,1.0987
2:56,19:33,1.0987
2:57,2:172,1.0432
2:57,5:88,1.0432
2:57,7:160,0.9196
2:57,20:80,0.8988
2:57,25:25,0.8007
2:57,16:114,0.7452
2:57,2:210,0.7016
2:57,20:81,0.5796
2:57,26:4,0.5794
2:57,28:24,0.5794
2:57,2:59,0.5421
2:57,34:15,0.4742
2:58,7:161,1.6536
2:58,5:23,0.8541
2:58,12:99,0.8535
2:58,16:29,0.7532
2:58,39:72,0.7532
2:58,12:67,0.7332
2:58,13:23,0.6833
2:58,71:28,0.6716
2:58,7:151,0.5254
2:58,4:154,0.4887
2:58,17:7,0.4578
2:58,12:68,0.4422
2:59,7:162,2.2867
2:59,50:29,1.8432
2:59,29:34,1.7424
2:59,16:101,1.1125
2:59,27:11,0.7899
2:59,14:48,0.6634
2:59,8:11,0.5877
2:59,18:50,0.5563
2:59,11:101,0.5378
2:59,7:165,0.5162
2:59,10:15,0.4512
2:59,9:39,0.4491
2:60,76:6,1.6479
2:60,26:183,0.887
2:60,7:160,0.8148
2:60,11:85,0.5322
2:60,26:63,0.513
2:60,54:12,0.5081
2:60,38:28,0.465
2:60,19:26,0.4577
2:60,7:31,0.3892
2:60,39:27,0.3879
2:60,16:69,0.3708
2:60,14:25,0.3695
2:61,3:112,0.6365
2:61,14:48,0.3291
2:61,2:36,0.3002
2:61,40:26,0.2683
2:61,3:21,0.2516
2:61,4:155,0.2226
2:61,8:30,0.2147
2:61,2:91,0.2044
2:61,4:101,0.2024
2:61,3:181,0.1939
2:61,3:146,0.1877
2:61,39:10,0.1793
2:62,5:69,1.8404
2:62,43:68,1.094
2:62,22:17,0.9882
2:62,2:277,0.9323
2:62,2:112,0.9146
2:62,2:140,0.6513
2:62,2:274,0.6402
2:62,3:22,0.6183
2:62,3:57,0.5911
2:62,5:9,0.5911
2:62,2:262,0.582
2:62,2:113,0.5682
2:63,4:154,1.4394
2:63,2:93,1.1593
2:63,4:21,1.0103
2:63,7:171,0.9901
2:63,5:7,0.9781
2:63,19:12,0.7594
2:63,40:22,0.6645
2:63,28:46,0.6291
2:63,2:84,0.5529
2:63,21:48,0.5427
2:63,5:57,0.537
2:63,3:81,0.4826
2:64,3:82,1.5227
2:64,9:76,1.1806
2:64,21:57,0.9136
2:64,24:47,0.9136
2:64,3:89,0.8007
2:64,42:28,0.7947
2:64,5:43,0.7614
2:64,4:119,0.731
2:64,47:22,0.6906
2:64,21:109,0.6526
2:64,8:75,0.6358
2:64,19:45,0.592
2:65,7:166,7.0184
2:65,7:163,2.4373
2:65,2:98,1.7745
2:65,2:190,1.4787
2:65,5:87,1.4787
2:65,4:154,1.3297
2:65,2:194,1.109
2:65,4:45,0.8872
2:65,2:193,0.7394
2:65,4:30,0.7394
2:65,5:78,0.6337
2:65,2:208,0.5545
2:66,36:45,1.418
2:66,20:110,1.3915
2:66,3:138,1.3824
2:66,22:76,1.1132
2:66,24:34,0.9874
2:66,16:124,0.9694
2:66,19:64,0.9348
2:66,36:9,0.8559
2:66,5:46,0.8359
2:66,49:1,0.8044
2:66,21:28,0.7951
2:66,72:27,0.7951
2:67,39:64,1.4947
2:67,7:199,1.246
2:67,18:106,1.0924
2:67,25:41,1.0924
2:67,45:9,1.0924
2:67,12:79,1.0786
2:67,2:71,0.9392
2:67,5:58,0.9104
2:67,2:68,0.8526
2:67,13:32,0.6828
2:67,21:36,0.6828
2:67,45:35,0.6828
2:68,2:70,1.2756
2:68,2:69,0.9567
2:68,2:237,0.6952
2:68,40:50,0.6129
2:68,42:15,0.5829
2:68,30:25,0.5699
2:68,10:106,0.5435
2:68,40:66,0.5157
2:68,24:48,0.4843
2:68,17:110,0.4729
2:68,41:5,0.4427
2:68,24:51,0.4151
2:69,2:70,1.2925
2:69,39:21,0.9925
2:69,20:62,0.7894
2:69,7:198,0.5912
2:69,40:50,0.5673
2:69,17:110,0.4607
2:69,4:50,0.4064
2:69,8:6,0.4064
2:69,24:48,0.4022
2:69,24:51,0.3448
2:69,41:5,0.3269
2:69,5:75,0.3223
2:70,7:193,1.1602
2:70,6:41,0.8841
2:70,10:25,0.8124
2:70,24:46,0.7875
2:70,39:23,0.7772
2:70,16:20,0.6455
2:70,7:198,0.6206
2:70,17:110,0.6143
2:70,6:71,0.5653
2:70,9:115,0.5625
2:70,24:48,0.5363
2:70,14:4,0.5088
2:71,68:43,0.5108
2:71,2:68,0.5096
2:71,27:34,0.4122
2:71,2:205,0.4031
2:71,35:9,0.3703
2:71,67:15,0.3688
2:71,12:73,0.328
2:71,30:9,0.3029
2:71,11:107,0.2626
2:71,10:55,0.2617
2:71,4:170,0.2312
2:71,10:78,0.2187
2:72,28:33,2.0375
2:72,3:168,1.9017
2:72,2:191,1.3304
2:72,5:30,1.1643
2:72,59:12,1.0625
2:72,17:33,0.9366
2:72,3:167,0.9118
2:72,60:9,0.85
2:72,18:74,0.8434
2:72,2:246,0.7892
2:72,28:19,0.6792
2:72,4:66,0.6472
2:73,29:43,1.9153
2:73,23:80,1.4109
2:73,57:17,1.4109
2:73,2:76,1.109
2:73,36:78,0.8485
2:73,29:25,0.8431
2:73,30:24,0.8339
2:73,29:63,0.7696
2:73,3:156,0.7629
2:73,13:40,0.7629
2:73,9:127,0.6922
2:73,10:46,0.6539
2:74,22:53,0.9382
2:74,6:43,0.9293
2:74,39:22,0.764
2:74,57:16,0.5152
2:74,16:108,0.5055
2:74,5:13,0.3438
2:74,2:149,0.308
2:74,26:227,0.2953
2:74,9:42,0.2645
2:74,47:32,0.2626
2:74,14:32,0.2029
2:74,7:179,0.1944
2:75,10:42,1.7841
2:75,67:10,1.3108
2:75,6:115,1.0866
2:75,24:16,0.9499
2:75,24:47,0.9064
2:75,2:181,0.8947
2:75,30:24,0.8759
2:75,4:46,0.8731
2:75,3:65,0.8219
2:75,98:4,0.7553
2:75,25:44,0.749
2:75,7:56,0.7161
2:76,84:4,2.4357
2:76,66:3,1.0062
2:76,3:65,0.9896
2:76,42:16,0.891
2:76,14:15,0.8807
2:76,23:44,0.7889
2:76,50:24,0.7461
2:76,34:31,0.7271
2:76,12:10,0.7097
2:76,13:4,0.6689
2:76,8:22,0.6601
2:76,2:46,0.543
2:77,16:19,15.0681
2:77,71:9,14.1672
2:77,56:15,12.3656
2:77,36:76,10.0454
2:77,37:44,6.1828
2:77,16:23,6.0272
2:77,64:4,6.0272
2:77,9:78,4.1219
2:77,20:7,4.1219
2:77,11:5,3.3485
2:77,43:34,3.0914
2:77,2:274,3.0136
2:78,43:4,1.628
2:78,4:123,1.5973
2:78,13:39,1.0853
2:78,45:28,0.9652
2:78,17:71,0.7433
2:78,46:12,0.7433
2:78,3:113,0.7236
2:78,2:134,0.6841
2:78,2:141,0.6841
2:78,3:75,0.6512
2:78,36:12,0.6512
2:78,62:2,0.6512
2:79,16:95,1.6115
2:79,9:9,1.2071
2:79,3:78,1.1105
2:79,3:199,1.0465
2:79,20:52,1.0271
2:79,3:187,0.9648
2:79,3:3,0.8776
2:79,2:174,0.8099
2:79,6:7,0.7679
2:79,13:39,0.6847
2:79,28:49,0.6847
2:79,10:37,0.6825
2:80,19:78,1.4025
2:80,19:87,1.4025
2:80,3:24,1.0331
2:80,3:131,1.001
2:80,54:48,0.7747
2:80,33:49,0.7613
2:80,26:156,0.7321
2:80,22:47,0.7203
2:80,3:183,0.6096
2:80,8:68,0.6016
2:80,11:113,0.5522
2:80,3:140,0.526
2:81,10:8,1.6338
2:81,7:36,1.4036
2:81,39:51,1.2623
2:81,20:101,1.1476
2:81,2:82,1.0384
2:81,39:48,1.0098
2:81,58:17,1.0025
2:81,64:10,1.0025
2:81,10:52,0.9487
2:81,71:25,0.9329
2:81,10:27,0.8775
2:81,3:116,0.8772
2:82,11:23,2.3388
2:82,46:14,2.2886
2:82,7:42,1.7541
2:82,18:107,1.6911
2:82,31:8,1.6911
2:82,32:19,1.425
2:82,29:58,1.0178
2:82,19:60,0.9663
2:82,10:26,0.9657
2:82,14:23,0.948
2:82,4:122,0.869
2:82,4:124,0.8455
2:83,9:103,0.5828
2:83,5:55,0.5722
2:83,2:215,0.5056
2:83,4:36,0.4386
2:83,17:26,0.4327
2:83,98:5,0.3718
2:83,30:38,0.3462
2:83,2:63,0.3309
2:83,21:73,0.3042
2:83,8:41,0.2926
2:83,3:187,0.2912
2:83,59:7,0.2834
2:84,3:81,0.9238
2:84,4:21,0.7899
2:84,7:78,0.7372
2:84,7:91,0.7372
2:84,9:98,0.6897
2:84,4:154,0.6304
2:84,11:67,0.6143
2:84,7:172,0.5162
2:84,18:51,0.441
2:84,4:66,0.4267
2:84,7:169,0.4007
2:84,5:70,0.39
2:85,33:26,0.4435
2:85,2:191,0.4107
2:85,4:66,0.4035
